[2021-07-28 18:20:47] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-28 18:20:47] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-28 18:20:47] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-28 18:20:47] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-28 18:20:47] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-28 18:20:47] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-28 18:20:47] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-28 18:20:48] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: TomcatEmbeddedWebappClassLoader
  context: ROOT
  delegate: true
----------> Parent Classloader:
jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7

	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (null)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-28 18:20:48] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-28 18:20:48] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-28 18:20:48] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-28 18:20:48] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-28 18:20:48] - HHH000206: hibernate.properties not found
[2021-07-28 18:20:48] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-28 18:20:48] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-28 18:20:48] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-28 18:20:48] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-28 18:20:48] - Adding type registration boolean -> org.hibernate.type.BooleanType@7f3fc42f
[2021-07-28 18:20:48] - Adding type registration boolean -> org.hibernate.type.BooleanType@7f3fc42f
[2021-07-28 18:20:48] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7f3fc42f
[2021-07-28 18:20:48] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@443a53df
[2021-07-28 18:20:48] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@15986dd5
[2021-07-28 18:20:48] - Adding type registration yes_no -> org.hibernate.type.YesNoType@5d352de0
[2021-07-28 18:20:48] - Adding type registration byte -> org.hibernate.type.ByteType@73e776b7
[2021-07-28 18:20:48] - Adding type registration byte -> org.hibernate.type.ByteType@73e776b7
[2021-07-28 18:20:48] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@73e776b7
[2021-07-28 18:20:48] - Adding type registration character -> org.hibernate.type.CharacterType@55736cfe
[2021-07-28 18:20:48] - Adding type registration char -> org.hibernate.type.CharacterType@55736cfe
[2021-07-28 18:20:48] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@55736cfe
[2021-07-28 18:20:48] - Adding type registration short -> org.hibernate.type.ShortType@7015ebef
[2021-07-28 18:20:48] - Adding type registration short -> org.hibernate.type.ShortType@7015ebef
[2021-07-28 18:20:48] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7015ebef
[2021-07-28 18:20:48] - Adding type registration integer -> org.hibernate.type.IntegerType@617449dd
[2021-07-28 18:20:48] - Adding type registration int -> org.hibernate.type.IntegerType@617449dd
[2021-07-28 18:20:48] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@617449dd
[2021-07-28 18:20:48] - Adding type registration long -> org.hibernate.type.LongType@25953be6
[2021-07-28 18:20:48] - Adding type registration long -> org.hibernate.type.LongType@25953be6
[2021-07-28 18:20:48] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@25953be6
[2021-07-28 18:20:48] - Adding type registration float -> org.hibernate.type.FloatType@5927f904
[2021-07-28 18:20:48] - Adding type registration float -> org.hibernate.type.FloatType@5927f904
[2021-07-28 18:20:48] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5927f904
[2021-07-28 18:20:48] - Adding type registration double -> org.hibernate.type.DoubleType@3ca14cf4
[2021-07-28 18:20:48] - Adding type registration double -> org.hibernate.type.DoubleType@3ca14cf4
[2021-07-28 18:20:48] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3ca14cf4
[2021-07-28 18:20:48] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5b8572df
[2021-07-28 18:20:48] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5b8572df
[2021-07-28 18:20:48] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@64518270
[2021-07-28 18:20:48] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@64518270
[2021-07-28 18:20:48] - Adding type registration string -> org.hibernate.type.StringType@553d2579
[2021-07-28 18:20:48] - Adding type registration java.lang.String -> org.hibernate.type.StringType@553d2579
[2021-07-28 18:20:48] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5aa62ee7
[2021-07-28 18:20:48] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@57e5396b
[2021-07-28 18:20:48] - Adding type registration url -> org.hibernate.type.UrlType@38fb50f8
[2021-07-28 18:20:48] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@38fb50f8
[2021-07-28 18:20:48] - Adding type registration Duration -> org.hibernate.type.DurationType@62ade015
[2021-07-28 18:20:48] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@62ade015
[2021-07-28 18:20:48] - Adding type registration Instant -> org.hibernate.type.InstantType@324b6a56
[2021-07-28 18:20:48] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@324b6a56
[2021-07-28 18:20:48] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6ee5f485
[2021-07-28 18:20:48] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6ee5f485
[2021-07-28 18:20:48] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@49fdbe2b
[2021-07-28 18:20:48] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@49fdbe2b
[2021-07-28 18:20:48] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@7197b07f
[2021-07-28 18:20:48] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@7197b07f
[2021-07-28 18:20:48] - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@382dc417
[2021-07-28 18:20:48] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@382dc417
[2021-07-28 18:20:48] - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@592ca48c
[2021-07-28 18:20:48] - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@592ca48c
[2021-07-28 18:20:48] - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@677ce519
[2021-07-28 18:20:48] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@677ce519
[2021-07-28 18:20:48] - Adding type registration date -> org.hibernate.type.DateType@7f0a133d
[2021-07-28 18:20:48] - Adding type registration java.sql.Date -> org.hibernate.type.DateType@7f0a133d
[2021-07-28 18:20:48] - Adding type registration time -> org.hibernate.type.TimeType@261b9a37
[2021-07-28 18:20:48] - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@261b9a37
[2021-07-28 18:20:48] - Adding type registration timestamp -> org.hibernate.type.TimestampType@2199e845
[2021-07-28 18:20:48] - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2199e845
[2021-07-28 18:20:48] - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2199e845
[2021-07-28 18:20:48] - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2fe2965c
[2021-07-28 18:20:48] - Adding type registration calendar -> org.hibernate.type.CalendarType@6f6cc7da
[2021-07-28 18:20:48] - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@6f6cc7da
[2021-07-28 18:20:48] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@6f6cc7da
[2021-07-28 18:20:48] - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@587c5c1
[2021-07-28 18:20:48] - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@26582ca
[2021-07-28 18:20:48] - Adding type registration locale -> org.hibernate.type.LocaleType@dbddbe3
[2021-07-28 18:20:48] - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@dbddbe3
[2021-07-28 18:20:48] - Adding type registration currency -> org.hibernate.type.CurrencyType@46a795de
[2021-07-28 18:20:48] - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@46a795de
[2021-07-28 18:20:48] - Adding type registration timezone -> org.hibernate.type.TimeZoneType@68af87ad
[2021-07-28 18:20:48] - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@68af87ad
[2021-07-28 18:20:48] - Adding type registration class -> org.hibernate.type.ClassType@44e4cb76
[2021-07-28 18:20:48] - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@44e4cb76
[2021-07-28 18:20:48] - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@78d23d6a
[2021-07-28 18:20:48] - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@78d23d6a
[2021-07-28 18:20:48] - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@6b8d54da
[2021-07-28 18:20:48] - Adding type registration binary -> org.hibernate.type.BinaryType@265a094b
[2021-07-28 18:20:48] - Adding type registration byte[] -> org.hibernate.type.BinaryType@265a094b
[2021-07-28 18:20:48] - Adding type registration [B -> org.hibernate.type.BinaryType@265a094b
[2021-07-28 18:20:48] - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@16d0e521
[2021-07-28 18:20:48] - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@16d0e521
[2021-07-28 18:20:48] - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@16d0e521
[2021-07-28 18:20:48] - Adding type registration row_version -> org.hibernate.type.RowVersionType@1d6a8386
[2021-07-28 18:20:48] - Adding type registration image -> org.hibernate.type.ImageType@491cafec
[2021-07-28 18:20:48] - Adding type registration characters -> org.hibernate.type.CharArrayType@76a7fcbd
[2021-07-28 18:20:48] - Adding type registration char[] -> org.hibernate.type.CharArrayType@76a7fcbd
