[2021-07-28 17:51:54] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-28 17:51:54] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-28 17:51:54] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-28 17:51:54] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-28 17:51:54] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-28 17:51:54] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-28 17:51:54] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-28 17:51:54] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: TomcatEmbeddedWebappClassLoader
  context: ROOT
  delegate: true
----------> Parent Classloader:
jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7

	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (null)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-28 17:51:54] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-28 17:51:54] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-28 17:51:54] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-28 17:51:54] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-28 17:51:54] - HHH000206: hibernate.properties not found
[2021-07-28 17:51:54] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-28 17:51:54] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-28 17:51:54] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-28 17:51:54] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-28 17:51:54] - Adding type registration boolean -> org.hibernate.type.BooleanType@bc09d57
[2021-07-28 17:51:54] - Adding type registration boolean -> org.hibernate.type.BooleanType@bc09d57
[2021-07-28 17:51:54] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@bc09d57
[2021-07-28 17:51:54] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5a566922
[2021-07-28 17:51:54] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@65c17e38
[2021-07-28 17:51:54] - Adding type registration yes_no -> org.hibernate.type.YesNoType@2a87ba34
[2021-07-28 17:51:54] - Adding type registration byte -> org.hibernate.type.ByteType@2c18a3ea
[2021-07-28 17:51:54] - Adding type registration byte -> org.hibernate.type.ByteType@2c18a3ea
[2021-07-28 17:51:54] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2c18a3ea
[2021-07-28 17:51:54] - Adding type registration character -> org.hibernate.type.CharacterType@7243145f
[2021-07-28 17:51:54] - Adding type registration char -> org.hibernate.type.CharacterType@7243145f
[2021-07-28 17:51:54] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7243145f
[2021-07-28 17:51:54] - Adding type registration short -> org.hibernate.type.ShortType@184823ed
[2021-07-28 17:51:54] - Adding type registration short -> org.hibernate.type.ShortType@184823ed
[2021-07-28 17:51:54] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@184823ed
[2021-07-28 17:51:54] - Adding type registration integer -> org.hibernate.type.IntegerType@794eeaf8
[2021-07-28 17:51:54] - Adding type registration int -> org.hibernate.type.IntegerType@794eeaf8
[2021-07-28 17:51:54] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@794eeaf8
[2021-07-28 17:51:54] - Adding type registration long -> org.hibernate.type.LongType@35eee641
[2021-07-28 17:51:54] - Adding type registration long -> org.hibernate.type.LongType@35eee641
[2021-07-28 17:51:54] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@35eee641
[2021-07-28 17:51:54] - Adding type registration float -> org.hibernate.type.FloatType@52b959df
[2021-07-28 17:51:54] - Adding type registration float -> org.hibernate.type.FloatType@52b959df
[2021-07-28 17:51:54] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@52b959df
[2021-07-28 17:51:54] - Adding type registration double -> org.hibernate.type.DoubleType@1f7cec93
[2021-07-28 17:51:54] - Adding type registration double -> org.hibernate.type.DoubleType@1f7cec93
[2021-07-28 17:51:54] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1f7cec93
[2021-07-28 17:51:54] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@59636c47
[2021-07-28 17:51:54] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@59636c47
[2021-07-28 17:51:54] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@59096b66
[2021-07-28 17:51:54] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@59096b66
[2021-07-28 17:51:54] - Adding type registration string -> org.hibernate.type.StringType@6c538eb2
[2021-07-28 17:51:54] - Adding type registration java.lang.String -> org.hibernate.type.StringType@6c538eb2
[2021-07-28 17:51:54] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@421d54b3
[2021-07-28 17:51:54] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@ccd341d
[2021-07-28 17:51:54] - Adding type registration url -> org.hibernate.type.UrlType@1ab14636
[2021-07-28 17:51:54] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1ab14636
[2021-07-28 17:51:54] - Adding type registration Duration -> org.hibernate.type.DurationType@61608e1a
[2021-07-28 17:51:54] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@61608e1a
[2021-07-28 17:51:54] - Adding type registration Instant -> org.hibernate.type.InstantType@6401188a
[2021-07-28 17:51:54] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6401188a
[2021-07-28 17:51:54] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@373afd6c
[2021-07-28 17:51:54] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@373afd6c
[2021-07-28 17:51:54] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4017fe2c
[2021-07-28 17:51:54] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4017fe2c
[2021-07-28 17:51:54] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@7b351446
[2021-07-28 17:51:54] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@7b351446
[2021-07-28 17:51:54] - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1a21f43f
[2021-07-28 17:51:54] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@1a21f43f
[2021-07-28 17:51:54] - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@4a70d302
[2021-07-28 17:51:54] - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@4a70d302
[2021-07-28 17:51:54] - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1213ffbc
[2021-07-28 17:51:54] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1213ffbc
[2021-07-28 17:51:54] - Adding type registration date -> org.hibernate.type.DateType@40943a6
[2021-07-28 17:51:54] - Adding type registration java.sql.Date -> org.hibernate.type.DateType@40943a6
[2021-07-28 17:51:54] - Adding type registration time -> org.hibernate.type.TimeType@29f3c438
[2021-07-28 17:51:54] - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@29f3c438
[2021-07-28 17:51:54] - Adding type registration timestamp -> org.hibernate.type.TimestampType@643ba1ed
[2021-07-28 17:51:54] - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@643ba1ed
[2021-07-28 17:51:54] - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@643ba1ed
[2021-07-28 17:51:54] - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@2c3158e0
[2021-07-28 17:51:54] - Adding type registration calendar -> org.hibernate.type.CalendarType@5e1a986c
[2021-07-28 17:51:54] - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@5e1a986c
[2021-07-28 17:51:54] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@5e1a986c
[2021-07-28 17:51:54] - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@44f0ff2b
[2021-07-28 17:51:54] - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@11ede87f
[2021-07-28 17:51:54] - Adding type registration locale -> org.hibernate.type.LocaleType@110b7837
[2021-07-28 17:51:54] - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@110b7837
